Backtest vertical: crypto
Days: 1000

Day	Equity
2024-05-31 00:00:00	225616.29
2024-06-01 00:00:00	224177.86
2024-06-02 00:00:00	227618.44
2024-06-03 00:00:00	237464.37
2024-06-04 00:00:00	240555.41
2024-06-05 00:00:00	239369.35
2024-06-06 00:00:00	231049.39
2024-06-07 00:00:00	229293.05
2024-06-08 00:00:00	230702.59
2024-06-09 00:00:00	224310.01
2024-06-10 00:00:00	215737.52
2024-06-11 00:00:00	220060.37
2024-06-12 00:00:00	214267.85
2024-06-13 00:00:00	213723.33
2024-06-14 00:00:00	0.00
2024-06-15 00:00:00	0.00
2024-06-16 00:00:00	0.00
2024-06-17 00:00:00	0.00
2024-06-18 00:00:00	0.00
2024-06-19 00:00:00	0.00
2024-06-20 00:00:00	0.00
2024-06-21 00:00:00	0.00
2024-06-22 00:00:00	0.00
2024-06-23 00:00:00	0.00
2024-06-24 00:00:00	0.00
2024-06-25 00:00:00	0.00
2024-06-26 00:00:00	0.00
2024-06-27 00:00:00	0.00
2024-06-28 00:00:00	0.00
2024-06-29 00:00:00	0.00
2024-06-30 00:00:00	0.00
2024-07-01 00:00:00	0.00
2024-07-02 00:00:00	0.00
2024-07-03 00:00:00	0.00
2024-07-04 00:00:00	0.00
2024-07-05 00:00:00	0.00
2024-07-06 00:00:00	0.00
2024-07-07 00:00:00	0.00
2024-07-08 00:00:00	0.00
2024-07-09 00:00:00	0.00
2024-07-10 00:00:00	0.00
2024-07-11 00:00:00	0.00
2024-07-12 00:00:00	0.00
2024-07-13 00:00:00	0.00
2024-07-14 00:00:00	220580.55
2024-07-15 00:00:00	226967.88
2024-07-16 00:00:00	227724.38
2024-07-17 00:00:00	226889.92
2024-07-18 00:00:00	234622.05
2024-07-19 00:00:00	238033.21
2024-07-20 00:00:00	243127.34
2024-07-21 00:00:00	239422.92
2024-07-22 00:00:00	236058.30
2024-07-23 00:00:00	236084.97
2024-07-24 00:00:00	230723.46
2024-07-25 00:00:00	237777.81
2024-07-26 00:00:00	237063.96
2024-07-27 00:00:00	238479.83
2024-07-28 00:00:00	235537.80
2024-07-29 00:00:00	237861.11
2024-07-30 00:00:00	232358.73
2024-07-31 00:00:00	228921.77
2024-08-01 00:00:00	213922.91
2024-08-02 00:00:00	207861.11
2024-08-03 00:00:00	195519.59
2024-08-04 00:00:00	182841.49
2024-08-05 00:00:00	0.00
2024-08-06 00:00:00	0.00
2024-08-07 00:00:00	0.00
2024-08-08 00:00:00	172136.69
2024-08-09 00:00:00	173204.21
2024-08-10 00:00:00	163922.76
2024-08-11 00:00:00	168548.66
2024-08-12 00:00:00	171098.83
2024-08-13 00:00:00	168637.62
2024-08-14 00:00:00	166265.36
2024-08-15 00:00:00	167184.61
2024-08-16 00:00:00	167985.25
2024-08-17 00:00:00	0.00
2024-08-18 00:00:00	0.00
2024-08-19 00:00:00	166638.00
2024-08-20 00:00:00	167303.46
2024-08-21 00:00:00	168860.90
2024-08-22 00:00:00	172014.60
2024-08-23 00:00:00	171553.42
2024-08-24 00:00:00	169774.09
2024-08-25 00:00:00	166151.80
2024-08-26 00:00:00	158560.77
2024-08-27 00:00:00	158004.16
2024-08-28 00:00:00	157549.86
2024-08-29 00:00:00	158046.56
2024-08-30 00:00:00	157367.36
2024-08-31 00:00:00	0.00
2024-09-01 00:00:00	0.00
2024-09-02 00:00:00	0.00
2024-09-03 00:00:00	0.00
2024-09-04 00:00:00	0.00
2024-09-05 00:00:00	0.00
2024-09-06 00:00:00	0.00
2024-09-07 00:00:00	0.00
2024-09-08 00:00:00	0.00
2024-09-09 00:00:00	0.00
2024-09-10 00:00:00	0.00
2024-09-11 00:00:00	0.00
2024-09-12 00:00:00	0.00
2024-09-13 00:00:00	156490.59
2024-09-14 00:00:00	151901.04
2024-09-15 00:00:00	150366.31
2024-09-16 00:00:00	151781.15
2024-09-17 00:00:00	154671.43
2024-09-18 00:00:00	156495.25
2024-09-19 00:00:00	156737.84
2024-09-20 00:00:00	159732.58
2024-09-21 00:00:00	157871.00
2024-09-22 00:00:00	159312.73
2024-09-23 00:00:00	162021.71
2024-09-24 00:00:00	158131.26
2024-09-25 00:00:00	162283.51
2024-09-26 00:00:00	164261.04
2024-09-27 00:00:00	164971.49
2024-09-28 00:00:00	166506.93
2024-09-29 00:00:00	160279.25
2024-09-30 00:00:00	153646.77
2024-10-01 00:00:00	148191.90
2024-10-02 00:00:00	146564.44
2024-10-03 00:00:00	150870.61
2024-10-04 00:00:00	150494.28
