================================================================
ALPHA TERMINAL — ALL PICKS  |  2026-03-13
================================================================
Games: 8  |  Prop lines scored: 232
NOTE: AST legs marked [!] — model hit rate 41% (below random), bet at own risk
================================================================

MONEYLINES
──────────────────────────────────────────────────────────────
  Team                            Model%  Side   ML Odds  vs
──────────────────────────────────────────────────────────────
  Reed Sheppard              pts    15.5   14.1   36.8%  LOW     -112   Pelicans @ Rockets
  Rudy Gobert                pts    10.5    9.5   36.7%  LOW     +105   Timberwolves @ Warriors
  Ayo Dosunmu                reb     2.5    2.3   36.7%  LOW     +106   Timberwolves @ Warriors
  Jerami Grant               pts    20.5   18.7   36.6%  LOW     -103   Jazz @ Blazers
  Brice Sensabaugh           pts    18.5   16.8   36.5%  LOW     -124   Jazz @ Blazers
  P.J. Washington            reb     6.5    5.8   36.4%  LOW     +116   Cavaliers @ Mavericks
  Brice Sensabaugh           reb     3.5    2.9   36.4%  LOW     -146   Jazz @ Blazers
  Amen Thompson              reb     7.5    6.6   36.3%  LOW     +115   Pelicans @ Rockets
  Isaiah Collier             reb     2.5    2.2   36.1%  LOW     -131   Jazz @ Blazers
  Bennedict Mathurin         ast[!]  2.5    2.1   36.1%  LOW     +130   Bulls @ Clippers
  Cade Cunningham            ast[!] 10.5    9.6   36.0%  LOW     -104   Grizzlies @ Pistons
  Devin Booker               ast[!]  5.5    4.9   36.0%  LOW     +116   Suns @ Raptors
  Naji Marshall              pts    13.5   12.4   36.0%  LOW     -108   Cavaliers @ Mavericks
  Brook Lopez                reb     4.5    3.9   35.2%  LOW     +134   Bulls @ Clippers
  Donte DiVincenzo           pts    10.5    9.3   35.1%  LOW     -128   Timberwolves @ Warriors
  Donovan Mitchell           pts    26.5   24.0   34.9%  LOW     -107   Cavaliers @ Mavericks
  Scottie Barnes             pts    17.5   15.9   34.7%  LOW     -103   Suns @ Raptors
  Kris Dunn                  ast[!]  5.5    4.8   34.6%  LOW     +108   Bulls @ Clippers
  Donovan Mitchell           ast[!]  5.5    4.8   34.6%  LOW     -108   Cavaliers @ Mavericks
  Evan Mobley                reb     9.5    8.4   34.5%  LOW     +102   Cavaliers @ Mavericks
  Jaden McDaniels            ast[!]  2.5    2.1   34.5%  LOW     +100   Timberwolves @ Warriors
  Matas Buzelis              pts    21.5   19.1   34.4%  LOW     -104   Bulls @ Clippers
  Duncan Robinson            reb     2.5    2.0   34.3%  LOW     +118   Grizzlies @ Pistons
  Sam Merrill                pts    11.5   10.2   34.2%  LOW     -107   Cavaliers @ Mavericks
  Julius Randle              pts    17.5   15.3   33.8%  LOW     -113   Timberwolves @ Warriors
  P.J. Washington            pts    12.5   10.9   33.7%  LOW     -102   Cavaliers @ Mavericks
  Kobe Sanders               ast[!]  2.5    2.0   33.5%  LOW     +100   Bulls @ Clippers
  James Harden               reb     5.5    4.6   33.4%  LOW     +122   Cavaliers @ Mavericks
  Toumani Camara             pts    12.5   10.8   33.3%  LOW     -109   Jazz @ Blazers
  Amen Thompson              pts    19.5   17.2   32.4%  LOW     -115   Pelicans @ Rockets
  Ace Bailey                 pts    17.5   15.2   32.4%  LOW     -107   Jazz @ Blazers
  Alperen Sengun             reb     8.5    7.2   32.3%  LOW     -101   Pelicans @ Rockets
  Rudy Gobert                reb    11.5    9.9   32.1%  LOW     +108   Timberwolves @ Warriors
  Deni Avdija                pts    22.5   19.4   31.1%  LOW     -121   Jazz @ Blazers
  Cade Cunningham            reb     5.5    4.5   30.7%  LOW     -110   Grizzlies @ Pistons
  Brandon Ingram             pts    21.5   18.3   30.6%  LOW     -116   Suns @ Raptors
  Dejounte Murray            ast[!]  5.5    4.5   30.1%  LOW     +114   Pelicans @ Rockets
  Kevin Durant               pts    25.5   22.1   30.0%  LOW     -112   Pelicans @ Rockets
  Kris Dunn                  pts     7.5    6.0   30.0%  LOW     -110   Bulls @ Clippers
  Jerami Grant               ast[!]  2.5    1.9   29.9%  LOW     +148   Jazz @ Blazers
  Alperen Sengun             pts    19.5   16.2   29.8%  LOW     -106   Pelicans @ Rockets
  Anthony Edwards            reb     4.5    3.5   29.8%  LOW     -143   Timberwolves @ Warriors
  Jalen Brunson              pts    26.5   22.5   29.8%  LOW     -102   Knicks @ Pacers
  Jarace Walker              ast[!]  3.5    2.8   29.7%  LOW     +134   Knicks @ Pacers
